Customer ID,Strike Score,Risk,Day Deemed High Risk
12175.0,1,Low,N/A
17236.0,1,Low,N/A
802.0,1,Low,N/A
16816.0,1,Low,N/A
16186.0,1,Low,N/A
946.0,2,Low,N/A
18598.0,1,Low,N/A
8752.0,1,Low,N/A
12605.0,1,Low,N/A
13919.0,1,Low,N/A
10270.0,1,Low,N/A
1306.0,1,Low,N/A
14852.0,1,Low,N/A
15429.0,2,Low,N/A
10082.0,1,Low,N/A
18284.0,1,Low,N/A
15868.0,1,Low,N/A
18244.0,2,Low,N/A
19141.0,1,Low,N/A
18975.0,3,High,2022-03-08
735.0,2,Low,N/A
3678.0,1,Low,N/A
18991.0,1,Low,N/A
14514.0,1,Low,N/A
18679.0,1,Low,N/A
16025.0,1,Low,N/A
16650.0,3,High,2022-03-08
1545.0,1,Low,N/A
18449.0,3,High,2022-03-08
17659.0,2,Low,N/A
2647.0,1,Low,N/A
5993.0,2,Low,N/A
7085.0,1,Low,N/A
4512.0,2,Low,N/A
6525.0,2,Low,N/A
18898.0,2,Low,N/A
16480.0,5,High,2022-03-08
8857.0,2,Low,N/A
17660.0,2,Low,N/A
17384.0,2,Low,N/A
12151.0,2,Low,N/A
8382.0,1,Low,N/A
11454.0,11,High,2022-03-08
18474.0,4,High,2022-03-08
18196.0,1,Low,N/A
9652.0,15,High,2022-03-08
11326.0,4,High,2022-03-08
,,,
